S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT
9009,Supplier#000009009,D96aIrY6lR,7,17-148-808-2052,999.09,uffily about the furiously even foxes. regular decoys haggle sly
9010,Supplier#000009010,Ft95sVR9Tbr,22,32-690-758-7248,3728.90,usual instructions above the slyly unusual pac
9011,Supplier#000009011,"eUVpuk35UDv6BtA9YI0,u4j lW7SbKuP0Ujvkf",1,11-690-330-1559,2600.88, unusual accounts? slyly regular pinto be
9012,Supplier#000009012,"iUiTziH,Ek3i4lwSgunXMgrcTzwdb",19,29-250-925-9690,7937.93,to the blithely ironic deposits nag sly
9013,Supplier#000009013,"MJ0bHctTH,qRRt",19,29-513-589-4374,2892.54,counts. quickly even forges cajole carefully across the carefully 
9014,Supplier#000009014,VESdCwbtiG1mRHWvkdOZsmZJU,0,10-628-325-8932,3853.97, even packages boost slyly carefully 
9015,Supplier#000009015, hqZvf3UAZhl0EgVZcm0,11,21-997-953-6904,3734.15,idle packages-- special de
9016,Supplier#000009016,WiPG0LZgNN9ke9JSyaeTh66OfbPj6OXmCYY5v,22,32-826-716-3859,2804.19,eans. carefully pending excuses haggle ironic packages. carefully bold 
9017,Supplier#000009017,p7zwkIpBAKLmC7Wgd7LckT,4,14-170-101-4780,4046.45,iet deposits after the daringly enticing hockey players x-ray slyly i
9018,Supplier#000009018,"3f2cOg,VutETPkzSo3cNTONdWkIkqzz ",18,28-230-488-1227,4718.96,ackages. regular accounts sleep blithely platelets. quickly final somas boo
9019,Supplier#000009019,"n8p5X,7yaHI8u72uyYVSqw ",14,24-566-213-6246,-362.19,nst the silent sheaves. carefully regular asympt
9020,Supplier#000009020,JaTDiZo5RHvqv1K4wzwLFqTa,10,20-515-199-3757,4556.82,ons sublate slyly after the quickly bold frays.
9021,Supplier#000009021,2cI86dCJiou,12,22-277-653-5354,2556.42,"tect blithely regular grouches. even, regular "
9022,Supplier#000009022,Ep7Zzcxr9dHF pC,13,23-905-336-4879,8670.94,y according to the blithely even asymptotes. slyly regular deposits detec
9023,Supplier#000009023,",JQVPGb5Q7GiTz4Ys",8,18-579-828-6514,2618.77,he ironic warhorses. even foxes cajole blithely fluffily silent theodolites. slyly fin
9024,Supplier#000009024,rxNd8I3zet,13,23-418-146-3758,679.62,es. deposits across the slyly bold packages 
9025,Supplier#000009025,"F1HRl9BAzcEo,",6,16-328-186-9849,2383.86,inal accounts. even pinto beans sleep carefully alongside of the slyly ironic deposits. carefu
9026,Supplier#000009026,",yb 5xmekw",16,26-300-653-9615,1489.26,"ay blithely. ironic, regular braids serve carefully "
9027,Supplier#000009027,99FpBGy3asoY2Dkmd,2,12-436-880-3118,3014.23,alongside of the regular instructions; carefully pending requests wake 
9028,Supplier#000009028,CGp5UiY8rUcMid6tcKWcCCGBrO G8b,14,24-488-812-5079,3195.87,y. carefully bold gifts against the carefully final deposits cajole special pinto beans.
9029,Supplier#000009029,tMbcraGBCsx6et j8,4,14-197-738-5698,8952.99,ies. ideas boost ironic instruction
9030,Supplier#000009030,kW2C1c1 MPjvOE3uSrgn,22,32-968-112-9297,1919.66,jole furiously across the ironic instruct
9031,Supplier#000009031,"FhUkpgtadZ5h7QNKpj7qCP7TOVk8enoPBH,1a46",5,15-429-301-9156,9673.05,"fully regular foxes. final, regular dolphins are fluffily carefully express packages. quickly s"
9032,Supplier#000009032,"qK,trB6Sdy4Dz1BRUFNy",3,13-441-662-5539,3982.32,regular requests use blithely express packages. theodolites cajole boldly along the ideas. package
9033,Supplier#000009033,"JSTh,gcJINwyiY4o8wfW 9QZzu",17,27-835-350-7270,4885.34,to the blithely ironic accounts. idly final theodolites nag
9034,Supplier#000009034,"oi,JOa0LITaOToR5L,G1eMDN8ZuhLERVo,3O,2",7,17-351-274-7494,1855.07,l accounts haggle quietly across t
9035,Supplier#000009035,"8W  kvlvsh5t,DgUFGKXMkaQdEAfF3UNxza",12,22-742-124-7874,2072.81,y ironic instructions above 
9036,Supplier#000009036,"tATCI,XNX4X7ED",7,17-262-703-4783,9702.45,egular foxes print across the deposits. fluffily even excuses across the even pinto beans are 
9037,Supplier#000009037,TN4MfTE8ywhIE,19,29-665-258-1017,3125.76,", special ideas. furiously"
9038,Supplier#000009038,"Ij8T0D9Fdkga2TeG7e,s5yYkuG6YF",19,29-665-277-1087,7662.93,hely special requests after the furiously final pinto beans cajole slyly even requests: carefu
9039,Supplier#000009039,y6FMC2poCxAqi,1,11-980-238-8041,968.07,"rs. special theodolites eat carefully. special, special deposits after "
9040,Supplier#000009040, DCZDJmcqkjIuyF ,7,17-411-550-2852,-686.32," carefully. even, regular asymptotes are carefully express theod"
9041,Supplier#000009041,02NwJ8FFNyYurwCWNshQYd0xU,0,10-637-812-6249,1983.64,"st the carefully ironic accounts. final, bold pinto "
9042,Supplier#000009042,h7ZUczo BbywBsYcTB4yCmF,14,24-904-680-8272,7008.00,s promise quietly carefully bold warthogs. furiously iro
9043,Supplier#000009043,"57OPvKH4qyXIZ7IzYeCaw11a5N1Ki9f1WWmVQ,",3,13-721-447-6674,4484.67,ate carefully. blithely unusual requests 
9044,Supplier#000009044,IUQ45yv2CVGeB,8,18-532-417-2644,-208.23, until the slyly final packages. foxes sleep pinto beans. ironic asymptotes about the 
9045,Supplier#000009045,XCXQUEIp36OKslCv7bLMnYnSxdAMPk3t,18,28-840-440-7483,7233.31,ul packages. ironic packages cajole quickly. unusual requests wake daringly ab
9046,Supplier#000009046,G9I6PPy6WcBpsOPcO4CMORttcmxvbedNG,11,21-928-727-4078,7218.71,"ptotes cajole. busy hockey players cajole stealthily pending, regular acco"
9047,Supplier#000009047,DbN8Q6vaNl3aFvDCEOSh9yN,14,24-999-545-7944,3872.62,ndencies impress slyly excuses. silent pains nag fluffily across the ev
9048,Supplier#000009048,ubrsBzWtANP80ndOC8AjYB9WX jiohjOdK0,18,28-818-961-8706,9184.96, the packages are quietly blithely express theodolites. final excuses haggle furio
9049,Supplier#000009049,g4dvfWujwb,23,33-903-164-9041,6668.15,"ependencies are carefully around the ironic foxes. regular, pending packages wake car"
9050,Supplier#000009050,"g4HOYh1gUgrOTtF,75L",21,31-399-753-9871,1585.98," theodolites. ironic, ironic dependencies sleep slyl"
9051,Supplier#000009051,rqjg3yDWpJlheWrvkAwt9iADnozWmy,18,28-823-689-4487,527.18,thely packages. finally unusual packages 
9052,Supplier#000009052,",,TuA03FajJlRCj080K5aYL9V71cnqL4Pk",0,10-184-936-8351,3287.57,excuses dazzle carefully along the regular theodolites.
9053,Supplier#000009053,"6h2P5,3j,zDoT",20,30-485-367-6698,-779.38,ickly regular dependencies. regular pinto beans play closely. quickly silent accounts slee
9054,Supplier#000009054,TN0Arq5KOkfmOhuZSi3lov hkDV,8,18-130-136-9982,-149.24,ckly along the theodolites. quickly final packages wake ironic theodolites. even accounts doze ar
9055,Supplier#000009055,"h9R,KyJVzCBLgj9En5mxOd0sJL  XWE",4,14-136-356-7916,8615.81,"s wake furiously about the express accounts. regular, final deposits promise"
9056,Supplier#000009056,J XULM9ci1dymQfPtHL3O35IDjm,22,32-702-268-2426,-32.44,deas wake fluffily above the ironic packages. 
9057,Supplier#000009057,9X8yfLTApewvoHy5d,12,22-542-862-8502,2716.56,egular accounts cajole slyly slyly unusual requests. carefully pending theodolites are
9058,Supplier#000009058,"JDi9yv70YQ,5GEB6",0,10-169-896-9715,5222.58,nts haggle besides the blithely unusual pinto beans. fluffily ironic packages nag 
9059,Supplier#000009059,8hio036bAERfw4xaGtLAYlI0qfTu3Lsa1,7,17-878-236-8956,4918.07,sly across the even instructions. slyly regular foxes are carefully along the furiously bold 
9060,Supplier#000009060,4i8KTf6YCwNcKtshi2m52R8NtJYxLpAHlCn,0,10-752-251-9004,2029.10,ckly ironic excuses at the quickly specia
9061,Supplier#000009061,DXyzBcTtJ0diaDFN K oiNw9ph5O0hZiF,6,16-875-881-3134,1104.05," packages haggle furiously above the special, final pa"
9062,Supplier#000009062,"LZtzjMg6m7D,q6XopVqVcy",14,24-231-209-5210,7727.35,", express packages mold blithely according to the blithely even packages. carefully"
9063,Supplier#000009063,"Bi2Bk7wvzgXHCAoqH6t,r",9,19-227-328-4842,5601.65,nding accounts cajole furiously. deposits cajole carefully fluffily regula
9064,Supplier#000009064,"xbtD2V5S6e,rJIGNjRYPyl21u0e",10,20-368-975-7617,6879.57,es. unusual pinto beans are furiously above the slyly idle requests. carefully final dependencies
9065,Supplier#000009065,ZELuiqWrWbJV9zAuco1OnXKTJClhR,21,31-546-302-5610,1989.79,ages. furiously even instructions according t
9066,Supplier#000009066,"e3MOn5,2mrRJ1FVYrPHNBhmZn",1,11-223-726-7237,281.13, accounts nag blithely after 
9067,Supplier#000009067,"TI,wbau X5HpCdASV9BqNPZRpeDlHQpvPzePTtI",11,21-519-914-2068,3840.40,"nic foxes. even, ironic accounts affix alongside of the carefully final requests. slyly even t"
9068,Supplier#000009068,"ErjvNhg,CVml8krRQpo3zW8FYfsbf5iGv5lXGt1m",0,10-265-482-6893,6511.37,ets. slyly even ideas cajole slyly. even depths sleep slyly. regu
9069,Supplier#000009069,pJUQfs44ak8WCNutFki,17,27-890-324-3523,6643.21,ole among the express requests. blithely silent deposits us
9070,Supplier#000009070,vTNwNfUei2fgk52PgK92P8Bqb,8,18-966-167-9437,414.07,y final asymptotes. slyly careful
9071,Supplier#000009071,Eo44RjvwrB82VL1d32,19,29-403-776-9625,5260.43,. dependencies nag slyly deposits. slyly special packages nag carefully agains
9072,Supplier#000009072,SElQfI7y90sSiv7QyojGyuviKsga8xKExYAWX,14,24-420-730-4891,3017.74," slyly regular accounts nag at the bold, regular requests. packages boost. careful"
9073,Supplier#000009073,JLQG8zebOLa,6,16-912-317-6753,7120.98, instructions wake ironic dep
9074,Supplier#000009074,RM4V5rxUXlczRAGtVhoxzja8KJEia8vX7D6USo,4,14-914-673-6699,405.28,sleep around the quickly ironic pinto 
9075,Supplier#000009075,JDXUmrLAybQmdEDp8ANtLjWPdl,0,10-626-369-1805,415.13,"ording to the furiously regular accounts wake above the packages. regular, pending "
9076,Supplier#000009076,"tPB3z0Il783Aok,",19,29-952-420-6082,990.16,"ual, bold dolphins. express dependencies above the regular, final courts haggle s"
9077,Supplier#000009077,TSKc 6qUKfGVMcGf,24,34-178-864-4858,7618.39,lar pinto beans haggle carefully carefully bold forges. ironic excuses wake carefully slyly regular 
9078,Supplier#000009078,l4CvArLwcgpwaJ5oaX8uSr5KYA0lXn4v,19,29-495-229-3649,328.20,"s was after the quiet, final ideas. finally ironic dependencies haggle slyly. the"
9079,Supplier#000009079,"WJ0NpgRuusAnQR871,TSE4X",2,12-833-892-9506,3075.73, dazzle furiously about the ac
9080,Supplier#000009080,"rGU D6cSBNcw8CW1zVEx4qZd6BmF,,R",14,24-739-807-5601,2790.48,"slyly regular accounts haggle blithely according to the express, silent requests. b"
9081,Supplier#000009081,d1tzc5gzpNRMgTjp1gZrl,9,19-894-687-5796,4627.52,elets. silent deposits cajole
9082,Supplier#000009082,PBE1ryicleQTkevLvkfG,14,24-782-843-1885,2739.25,"s nag slyly above the daring, special accounts. carefully express instructions us"
9083,Supplier#000009083,wVIdyqHsk0UpdWUiW9YGz7HU8j,12,22-552-431-1228,1595.96,ly bold instructions. regular requests wake along the even accounts? requests
9084,Supplier#000009084,vFZS4BU4E8BTJ5r8PcrZFtc2pnIXm,0,10-830-177-5803,3284.77,cial accounts. slyly final theodolites detect slyly fluffily regular reques
9085,Supplier#000009085,3mbsprr7CRUTKfqiO3E,17,27-119-519-8096,7121.86, slyly unusual requests lose of the fo
9086,Supplier#000009086,nU6wxt80ORwxECbKGo9pX,24,34-265-660-6775,4097.83,kly express accounts sleep. care
9087,Supplier#000009087,R93KV7UdAptefzXjnqO9pfqgsV ZqpdHcC,23,33-722-513-3852,-722.12,oost evenly special theodolites. boldly even accounts integrate. furiously regular pinto be
9088,Supplier#000009088,"w0QXNsQj44PdNP79s5KRcEuY6,leVVY",18,28-799-267-6993,5195.60,cross the quickly silent packages. ev
9089,Supplier#000009089,IZerr6dMVc RxftltX2p,10,20-970-478-3730,2390.81,ts. evenly unusual requests nag carefully. instruc
