L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
2400006,11545,4047,1,48.00,69913.92,0.07,0.04,N,O,1996-02-01,1996-01-12,1996-02-12,NONE,SHIP,ndencies haggle slyly bli
2400006,22671,5174,2,8.00,12749.36,0.04,0.01,N,O,1996-02-14,1996-01-12,1996-03-11,COLLECT COD,AIR,lithely ironic accounts wake fluffi
2400006,20854,855,3,38.00,67444.30,0.09,0.04,N,O,1996-03-09,1996-01-01,1996-03-23,DELIVER IN PERSON,REG AIR,y. blithely bold accounts about 
2400006,83800,1325,4,42.00,74919.60,0.00,0.01,N,O,1996-03-14,1996-02-04,1996-03-25,TAKE BACK RETURN,REG AIR,le furiously around the even depo
2400006,11110,1111,5,3.00,3063.33,0.04,0.03,N,O,1995-12-01,1996-02-02,1995-12-04,TAKE BACK RETURN,MAIL,s the ironi
2400006,124164,9189,6,1.00,1188.16,0.07,0.03,N,O,1996-02-10,1996-02-05,1996-02-19,COLLECT COD,RAIL,t asymptotes. car
2400006,9293,6794,7,42.00,50496.18,0.02,0.04,N,O,1995-12-15,1995-12-20,1996-01-14,DELIVER IN PERSON,SHIP,carefully ironic accounts
2400007,171529,1530,1,23.00,36811.96,0.02,0.07,A,F,1993-09-21,1993-08-30,1993-10-12,COLLECT COD,AIR,ronically about the bold 
2400007,71175,8697,2,1.00,1146.17,0.04,0.07,R,F,1993-10-11,1993-09-17,1993-11-10,NONE,AIR,e. silent deposits around the furious
2400007,25506,5507,3,30.00,42945.00,0.05,0.07,A,F,1993-10-25,1993-09-11,1993-11-23,NONE,REG AIR, furiously sile
2400007,75621,8129,4,27.00,43108.74,0.05,0.00,A,F,1993-10-14,1993-08-10,1993-11-10,DELIVER IN PERSON,REG AIR,sits. carefully even packages arou
2400007,154726,4727,5,35.00,62325.20,0.07,0.00,A,F,1993-08-08,1993-09-27,1993-08-11,COLLECT COD,TRUCK,ades sleep slowly among the 
2400032,37556,7557,1,35.00,52274.25,0.06,0.01,R,F,1994-12-12,1994-10-16,1994-12-29,NONE,REG AIR,s ideas nag carefully regular requests
2400033,53807,6313,1,18.00,31694.40,0.01,0.05,A,F,1995-05-21,1995-04-09,1995-06-15,DELIVER IN PERSON,SHIP,long the slyly final pinto beans-- furio
2400033,128613,8614,2,34.00,55814.74,0.07,0.04,R,F,1995-05-17,1995-04-09,1995-05-18,COLLECT COD,TRUCK,hely at the unusual deposits. iron
2400033,190201,5240,3,14.00,18076.80,0.05,0.08,A,F,1995-04-19,1995-04-20,1995-05-01,DELIVER IN PERSON,RAIL,silent packages among the furiously
2400033,95395,2923,4,28.00,38930.92,0.01,0.05,R,F,1995-03-16,1995-04-02,1995-04-04,COLLECT COD,TRUCK,ual asymptotes
2400033,88874,8875,5,7.00,13040.09,0.06,0.01,N,F,1995-05-28,1995-03-10,1995-06-27,TAKE BACK RETURN,RAIL,platelets. quickly pending inst
2400033,100674,8205,6,18.00,30144.06,0.05,0.02,A,F,1995-05-29,1995-04-16,1995-06-02,NONE,FOB,"e the special, even theodolite"
2400033,19384,1886,7,49.00,63865.62,0.00,0.02,A,F,1995-04-27,1995-04-03,1995-05-20,TAKE BACK RETURN,AIR,ns hinder against
2400034,178752,1270,1,31.00,56753.25,0.09,0.07,A,F,1995-03-03,1994-12-21,1995-03-12,COLLECT COD,RAIL,the carefully reg
2400034,78163,3178,2,26.00,29670.16,0.03,0.01,R,F,1994-11-11,1995-01-10,1994-12-08,COLLECT COD,RAIL,"even packages. express,"
2400034,77578,86,3,24.00,37333.68,0.10,0.02,A,F,1995-02-23,1994-12-19,1995-03-19,DELIVER IN PERSON,FOB,uses. fluffily regular 
2400034,47827,2836,4,42.00,74542.44,0.08,0.07,A,F,1995-01-03,1994-12-30,1995-02-02,COLLECT COD,RAIL,lites. blithely slow decoys detect furiou
2400035,62263,2264,1,32.00,39208.32,0.05,0.02,R,F,1993-06-20,1993-05-21,1993-06-24,TAKE BACK RETURN,SHIP,ng the furious 
2400035,53754,1270,2,1.00,1707.75,0.01,0.08,R,F,1993-04-10,1993-06-19,1993-05-08,DELIVER IN PERSON,RAIL,g deposits. quickly final e
2400035,31952,9462,3,43.00,81009.85,0.05,0.02,R,F,1993-06-23,1993-06-15,1993-07-21,TAKE BACK RETURN,REG AIR,ously unusual pin
2400035,11043,8547,4,22.00,20988.88,0.06,0.05,A,F,1993-06-15,1993-05-31,1993-06-22,COLLECT COD,AIR,ully among the iron
2400035,198115,8116,5,39.00,47311.29,0.09,0.00,A,F,1993-04-14,1993-06-18,1993-04-21,TAKE BACK RETURN,FOB,ake quickly requests. pending the
2400035,110180,2692,6,36.00,42846.48,0.07,0.00,A,F,1993-04-12,1993-06-19,1993-04-24,DELIVER IN PERSON,MAIL,deposits across the packag
2400035,184497,4498,7,26.00,41118.74,0.02,0.05,A,F,1993-07-25,1993-06-15,1993-08-07,NONE,MAIL,ar platelets. slyl
2400036,40574,3079,1,29.00,43922.53,0.06,0.00,R,F,1993-07-11,1993-08-06,1993-07-18,DELIVER IN PERSON,REG AIR,al accounts. express orbits boost. 
2400036,114708,4709,2,24.00,41344.80,0.01,0.08,R,F,1993-08-22,1993-06-30,1993-09-20,NONE,FOB,ngside of the carefully bold depende
2400036,90643,644,3,33.00,53910.12,0.08,0.02,A,F,1993-09-21,1993-07-18,1993-10-16,DELIVER IN PERSON,SHIP,xpress foxes haggle sometimes unusual
2400036,31799,1800,4,32.00,55385.28,0.10,0.01,R,F,1993-06-08,1993-07-11,1993-07-06,TAKE BACK RETURN,AIR,deposits. blit
2400036,30494,8004,5,28.00,39885.72,0.01,0.00,R,F,1993-07-25,1993-08-25,1993-08-19,COLLECT COD,TRUCK,onic pinto beans according to the slyly
2400036,100919,3430,6,8.00,15359.28,0.03,0.01,R,F,1993-08-12,1993-07-30,1993-09-05,COLLECT COD,TRUCK, furiously spec
2400037,169749,4782,1,46.00,83662.04,0.00,0.00,N,O,1997-07-11,1997-09-12,1997-07-25,NONE,AIR,ly finally express theodolites. idly regul
2400037,163218,8251,2,5.00,6406.05,0.06,0.03,N,O,1997-08-24,1997-09-12,1997-09-21,NONE,MAIL,hely requests. care
2400038,122819,5332,1,40.00,73672.40,0.03,0.08,R,F,1993-03-19,1993-03-08,1993-04-06,TAKE BACK RETURN,MAIL, the furiously regular excus
2400039,1357,6358,1,5.00,6291.75,0.01,0.07,N,O,1996-03-09,1996-04-16,1996-03-19,NONE,MAIL, haggle fluffily quickly re
2400039,197374,9894,2,2.00,2942.74,0.08,0.07,N,O,1996-05-12,1996-04-12,1996-05-29,COLLECT COD,REG AIR,ily express requests are fur
2400064,114442,6954,1,40.00,58257.60,0.05,0.01,N,O,1996-05-25,1996-04-05,1996-06-17,NONE,FOB,osits. slyly iron
2400065,44922,9931,1,8.00,14935.36,0.03,0.06,N,O,1997-02-24,1997-02-28,1997-03-13,DELIVER IN PERSON,TRUCK,ly express requests 
2400065,1106,1107,2,30.00,30213.00,0.07,0.00,N,O,1997-03-30,1997-02-25,1997-04-07,DELIVER IN PERSON,MAIL,bold requests nag quic
2400065,173385,5903,3,31.00,45209.78,0.06,0.08,N,O,1997-02-04,1997-02-18,1997-02-25,NONE,FOB,fily along the regula
2400065,74374,9389,4,16.00,21573.92,0.05,0.04,N,O,1997-03-26,1997-03-13,1997-04-23,NONE,REG AIR,ts. carefully final
2400065,189648,7203,5,33.00,57342.12,0.07,0.06,N,O,1997-01-08,1997-02-08,1997-01-14,DELIVER IN PERSON,RAIL,s. even accounts nag requests. quickl
2400066,5602,8103,1,48.00,72364.80,0.03,0.00,R,F,1993-08-08,1993-06-06,1993-08-20,TAKE BACK RETURN,SHIP,"r, regular instructions. furiously ev"
2400066,151717,9263,2,37.00,65442.27,0.03,0.00,A,F,1993-05-20,1993-06-21,1993-06-07,NONE,AIR, requests cajole qui
2400066,104551,4552,3,22.00,34222.10,0.05,0.02,A,F,1993-06-20,1993-08-02,1993-07-11,TAKE BACK RETURN,RAIL,lithe deposits
2400066,180263,5300,4,7.00,9402.82,0.06,0.06,A,F,1993-05-14,1993-06-18,1993-05-31,COLLECT COD,RAIL,oost. fluffily final accounts affix sl
2400066,73728,1250,5,14.00,23824.08,0.07,0.04,A,F,1993-07-15,1993-07-11,1993-08-06,DELIVER IN PERSON,SHIP,g theodolites abo
2400066,136958,4498,6,20.00,39899.00,0.05,0.07,A,F,1993-08-17,1993-07-20,1993-08-19,NONE,FOB,y even deposits could integrate blithely bo
2400066,49748,9749,7,8.00,13581.92,0.08,0.01,A,F,1993-06-15,1993-06-22,1993-06-23,NONE,MAIL,y players haggle furiously c
2400067,106281,6282,1,32.00,41192.96,0.08,0.03,N,O,1998-05-29,1998-05-30,1998-06-25,TAKE BACK RETURN,AIR,y even requests. unusual
2400067,48176,681,2,43.00,48339.31,0.09,0.02,N,O,1998-07-01,1998-05-07,1998-07-18,COLLECT COD,MAIL,"xes integrate furiously. ironic, ev"
2400067,93748,1276,3,47.00,81861.78,0.01,0.04,N,O,1998-05-13,1998-05-09,1998-06-02,TAKE BACK RETURN,FOB,ly realms. foxes wake care
2400067,10760,761,4,11.00,18378.36,0.09,0.02,N,O,1998-05-25,1998-05-07,1998-06-18,DELIVER IN PERSON,TRUCK,pending accounts poach. carefully 
2400068,74603,2125,1,15.00,23664.00,0.00,0.05,N,O,1996-09-24,1996-08-16,1996-10-16,NONE,REG AIR,instructions nag furiously final braid
2400068,48361,866,2,44.00,57611.84,0.05,0.08,N,O,1996-08-23,1996-08-27,1996-09-03,DELIVER IN PERSON,MAIL,nto beans are. quickly express i
2400068,2875,376,3,29.00,51558.23,0.00,0.05,N,O,1996-10-06,1996-09-16,1996-10-31,COLLECT COD,FOB,posits cajole slyly furiously ironic p
2400068,107091,9602,4,22.00,24157.98,0.08,0.05,N,O,1996-08-23,1996-08-14,1996-09-01,DELIVER IN PERSON,RAIL, regular pinto beans. ruthlessly even de
2400068,66646,4165,5,37.00,59667.68,0.06,0.05,N,O,1996-10-17,1996-09-13,1996-11-10,COLLECT COD,SHIP,hy requests use according to the blithe
2400068,110451,452,6,44.00,64303.80,0.03,0.02,N,O,1996-08-03,1996-09-26,1996-08-14,COLLECT COD,FOB,"al sentiments. even, unusual f"
2400068,141778,9321,7,13.00,23657.01,0.01,0.08,N,O,1996-09-01,1996-08-25,1996-09-24,NONE,AIR,lithely in pl
2400069,57842,2853,1,36.00,64794.24,0.08,0.01,A,F,1995-03-11,1995-01-17,1995-03-24,COLLECT COD,FOB,e. fluffily quick theodolites slee
2400069,133733,8760,2,31.00,54768.63,0.10,0.07,A,F,1995-03-30,1995-01-19,1995-04-04,DELIVER IN PERSON,SHIP,ar packages h
2400069,36892,9396,3,22.00,40235.58,0.04,0.03,R,F,1994-12-22,1995-02-02,1995-01-09,TAKE BACK RETURN,REG AIR,gular request
2400069,35163,170,4,49.00,53809.84,0.04,0.02,R,F,1994-12-24,1995-01-18,1995-01-05,DELIVER IN PERSON,FOB,c requests. carefully ironic deposits cajo
2400069,170566,567,5,41.00,67098.96,0.05,0.04,R,F,1995-02-04,1995-02-19,1995-02-13,TAKE BACK RETURN,FOB,ously. regular somas thrash furio
2400069,96261,8771,6,18.00,22630.68,0.04,0.07,A,F,1995-04-02,1995-01-19,1995-04-15,NONE,MAIL,ole blithely. carefully ironic accounts sl
2400070,44134,6639,1,35.00,37734.55,0.09,0.00,N,O,1997-07-03,1997-06-07,1997-07-05,TAKE BACK RETURN,AIR,ic theodoli
2400070,154077,1623,2,1.00,1131.07,0.00,0.05,N,O,1997-07-19,1997-06-15,1997-07-25,NONE,RAIL,ole enticingly along the ironic excuses? q
2400070,166415,3964,3,29.00,42960.89,0.07,0.03,N,O,1997-04-11,1997-05-27,1997-05-06,NONE,AIR,"furiously alongside of the pending,"
2400070,123068,3069,4,43.00,46915.58,0.05,0.02,N,O,1997-06-25,1997-05-17,1997-06-26,NONE,TRUCK,at slyly regular foxes. furiously un
2400071,191937,6976,1,4.00,8115.72,0.07,0.01,R,F,1994-07-23,1994-09-20,1994-08-05,COLLECT COD,TRUCK,yly final instructions alongside of t
2400096,40334,5343,1,2.00,2548.66,0.07,0.08,N,O,1995-10-27,1995-12-17,1995-11-14,NONE,MAIL,carefully pending asymptotes could sle
2400096,93468,5978,2,5.00,7307.30,0.01,0.01,N,O,1995-11-27,1995-12-22,1995-11-29,NONE,SHIP, carefully regular
2400096,106946,6947,3,42.00,82023.48,0.05,0.04,N,O,1995-12-15,1995-12-01,1996-01-13,TAKE BACK RETURN,RAIL,wly bold deposit
2400096,30260,2764,4,28.00,33327.28,0.06,0.06,N,O,1995-11-04,1995-12-21,1995-11-26,NONE,AIR,ironic the
2400097,135444,5445,1,41.00,60657.04,0.09,0.04,A,F,1995-04-04,1995-02-12,1995-04-20,TAKE BACK RETURN,REG AIR,he slyly ironic 
2400097,191184,1185,2,1.00,1275.18,0.09,0.02,A,F,1994-12-30,1995-01-16,1995-01-03,TAKE BACK RETURN,RAIL, final packa
2400097,20321,2824,3,40.00,49652.80,0.09,0.01,A,F,1995-03-25,1995-01-24,1995-04-12,TAKE BACK RETURN,AIR,slyly. furiously unusual requests 
2400097,125654,679,4,29.00,48709.85,0.07,0.02,R,F,1995-03-15,1995-03-09,1995-03-30,NONE,TRUCK,deas. furiously ironic ideas s
2400097,64501,4502,5,12.00,17586.00,0.02,0.02,A,F,1994-12-13,1995-03-02,1995-01-07,DELIVER IN PERSON,REG AIR, the furiously unusual dolphins boost quic
2400098,144254,9283,1,1.00,1298.25,0.08,0.05,N,O,1996-03-22,1996-05-14,1996-04-06,NONE,TRUCK, slyly quick
2400098,65536,549,2,48.00,72073.44,0.01,0.08,N,O,1996-04-08,1996-05-10,1996-04-21,NONE,RAIL,posits. quickly even reques
2400098,59114,1620,3,20.00,21462.20,0.10,0.01,N,O,1996-05-07,1996-04-18,1996-05-26,DELIVER IN PERSON,RAIL,blithely unusual pearls. carefully
2400098,124728,9753,4,14.00,24538.08,0.00,0.01,N,O,1996-05-28,1996-05-10,1996-06-18,COLLECT COD,MAIL,endencies snooze caref
2400099,152273,7304,1,2.00,2650.54,0.08,0.07,N,O,1997-09-04,1997-10-02,1997-09-16,TAKE BACK RETURN,RAIL,n deposits print carefully.
2400099,45063,5064,2,48.00,48386.88,0.04,0.01,N,O,1997-08-26,1997-11-08,1997-09-02,DELIVER IN PERSON,SHIP,y along the pinto bea
2400100,35747,3257,1,30.00,50482.20,0.08,0.02,A,F,1992-07-30,1992-10-02,1992-08-07,NONE,SHIP,lithely reg
2400100,195022,7542,2,29.00,32393.58,0.09,0.06,A,F,1992-09-21,1992-10-05,1992-10-05,COLLECT COD,AIR,s. express deposits instead of the f
2400100,118485,6019,3,5.00,7517.40,0.02,0.03,A,F,1992-10-20,1992-09-18,1992-11-19,TAKE BACK RETURN,SHIP,of the depths wake along 
2400100,169036,9037,4,15.00,16575.45,0.02,0.08,R,F,1992-07-20,1992-09-17,1992-08-02,TAKE BACK RETURN,FOB,cross the express instruction
2400100,180308,7863,5,29.00,40260.70,0.02,0.06,A,F,1992-09-08,1992-09-06,1992-09-17,COLLECT COD,TRUCK,ular dolphi
2400100,26182,1187,6,45.00,49868.10,0.06,0.08,R,F,1992-09-14,1992-09-25,1992-09-17,COLLECT COD,MAIL, regular platelets about
2400100,27139,4646,7,3.00,3198.39,0.04,0.05,R,F,1992-07-19,1992-09-04,1992-07-28,DELIVER IN PERSON,FOB,inst the blit
2400101,114482,4483,1,31.00,46390.88,0.03,0.01,N,O,1996-02-26,1996-05-09,1996-03-24,TAKE BACK RETURN,RAIL,fully final asymptotes. reg
2400101,89374,9375,2,39.00,53171.43,0.07,0.03,N,O,1996-03-20,1996-05-24,1996-03-25,DELIVER IN PERSON,AIR,ts detect blithely fur
2400101,101790,4301,3,39.00,69879.81,0.06,0.06,N,O,1996-02-29,1996-05-22,1996-03-28,COLLECT COD,TRUCK,deposits haggle slyly regular de
2400101,174383,1935,4,14.00,20403.32,0.01,0.01,N,O,1996-05-14,1996-04-01,1996-06-09,DELIVER IN PERSON,SHIP,osits. careful
2400101,40114,7627,5,37.00,39002.07,0.09,0.05,N,O,1996-04-28,1996-04-21,1996-05-24,NONE,SHIP,ess deposits detect within the blithe
2400102,183714,8751,1,50.00,89885.50,0.01,0.06,N,O,1997-02-17,1997-01-29,1997-03-17,DELIVER IN PERSON,TRUCK,y pending theodolites wake 
2400102,68240,747,2,28.00,33830.72,0.00,0.03,N,O,1997-04-09,1997-01-16,1997-04-11,TAKE BACK RETURN,AIR,ly pending dinos are after the f
2400102,104388,4389,3,25.00,34809.50,0.03,0.00,N,O,1996-12-14,1997-02-15,1996-12-21,COLLECT COD,FOB,ual accounts. silent as
2400102,36532,4042,4,27.00,39650.31,0.04,0.03,N,O,1997-02-08,1997-02-15,1997-02-17,DELIVER IN PERSON,MAIL,ronic packa
2400102,187342,4897,5,21.00,30016.14,0.03,0.08,N,O,1997-02-13,1997-02-14,1997-02-15,DELIVER IN PERSON,MAIL,encies. special accounts nag qui
2400103,125471,5472,1,49.00,73327.03,0.03,0.04,R,F,1992-06-29,1992-05-23,1992-07-20,DELIVER IN PERSON,REG AIR,eposits cajole fluff
2400103,187638,5193,2,27.00,46592.01,0.09,0.07,R,F,1992-04-30,1992-04-13,1992-05-16,TAKE BACK RETURN,FOB,kages along the qu
2400103,18009,511,3,34.00,31518.00,0.01,0.05,R,F,1992-03-31,1992-05-23,1992-04-09,NONE,MAIL,uctions cajole blithely. slyly final 
2400103,76871,4393,4,37.00,68371.19,0.02,0.05,A,F,1992-05-26,1992-04-25,1992-06-05,TAKE BACK RETURN,TRUCK,al foxes. fox
2400128,176082,3634,1,43.00,49797.44,0.01,0.08,A,F,1994-09-10,1994-09-21,1994-10-01,TAKE BACK RETURN,TRUCK,busy decoys nag along the fur
2400128,5955,3456,2,44.00,81881.80,0.09,0.05,R,F,1994-08-14,1994-08-17,1994-08-22,NONE,AIR,tterns. furi
2400128,78312,8313,3,17.00,21935.27,0.10,0.07,R,F,1994-08-27,1994-08-26,1994-08-31,NONE,SHIP,ake blithely fluffily s
2400128,183693,3694,4,49.00,87057.81,0.04,0.01,R,F,1994-07-10,1994-09-19,1994-07-24,NONE,TRUCK,". regular, pending foxes are among t"
2400128,115427,5428,5,1.00,1442.42,0.05,0.03,R,F,1994-10-18,1994-08-25,1994-11-07,TAKE BACK RETURN,REG AIR,quests sleep s
2400129,39395,9396,1,47.00,62716.33,0.08,0.07,N,O,1998-01-19,1998-01-27,1998-02-05,TAKE BACK RETURN,AIR,old foxes. slyly bold deposits cajole blit
2400129,102946,477,2,13.00,25336.22,0.08,0.04,N,O,1998-03-23,1997-12-31,1998-04-15,NONE,MAIL,regular deposits haggl
2400129,7899,2900,3,14.00,25296.46,0.10,0.06,N,O,1998-01-14,1998-01-27,1998-01-30,COLLECT COD,REG AIR,osits alongside of the quickly unus
2400129,154172,6688,4,3.00,3678.51,0.02,0.04,N,O,1997-12-21,1998-01-11,1998-01-18,DELIVER IN PERSON,AIR,al pinto beans cajole slyly across the sl
2400129,166201,1234,5,21.00,26611.20,0.03,0.06,N,O,1998-03-23,1998-01-15,1998-04-18,COLLECT COD,TRUCK,lly ironic dolphins about the iron
2400129,136034,6035,6,18.00,19260.54,0.02,0.03,N,O,1998-02-12,1998-01-14,1998-03-10,COLLECT COD,AIR,ing pinto beans nag slyly bo
2400130,82546,5055,1,46.00,70312.84,0.04,0.00,R,F,1993-05-31,1993-06-08,1993-06-23,COLLECT COD,MAIL,iously final instructions
2400131,81193,6210,1,7.00,8219.33,0.09,0.03,R,F,1993-04-09,1993-05-22,1993-04-30,TAKE BACK RETURN,SHIP,pending accounts. bold courts use
2400131,3362,863,2,34.00,43022.24,0.09,0.00,R,F,1993-06-11,1993-05-16,1993-07-10,TAKE BACK RETURN,TRUCK,ly. asymptotes x-ra
2400132,162777,7810,1,46.00,84629.42,0.04,0.00,A,F,1994-06-19,1994-05-16,1994-07-14,NONE,FOB,leep since th
2400132,186741,1778,2,25.00,45693.50,0.07,0.03,A,F,1994-04-25,1994-05-19,1994-05-20,NONE,TRUCK,"c, final foxes. fluffily even accounts h"
2400132,143846,8875,3,40.00,75593.60,0.02,0.08,R,F,1994-04-30,1994-05-30,1994-05-13,COLLECT COD,MAIL,arefully final accounts
2400132,15726,5727,4,17.00,27909.24,0.10,0.04,A,F,1994-05-28,1994-06-22,1994-06-04,NONE,AIR, accounts sleep depend
2400132,93100,5610,5,4.00,4372.40,0.05,0.03,A,F,1994-04-15,1994-06-28,1994-04-19,DELIVER IN PERSON,FOB, final pinto beans affix carefull
2400132,123425,962,6,22.00,31865.24,0.00,0.05,R,F,1994-07-31,1994-06-22,1994-08-14,TAKE BACK RETURN,RAIL,", express accounts. fluffil"
2400133,67818,2831,1,10.00,17858.10,0.00,0.04,A,F,1994-03-06,1994-04-14,1994-04-04,NONE,AIR,", ironic exc"
2400133,12642,146,2,29.00,45084.56,0.07,0.00,A,F,1994-04-13,1994-03-30,1994-04-24,NONE,MAIL,"ly ironic, ca"
2400133,69181,6700,3,15.00,17252.70,0.04,0.07,R,F,1994-03-01,1994-03-24,1994-03-07,COLLECT COD,REG AIR,are. deposits ca
2400133,109836,2347,4,22.00,40608.26,0.08,0.07,R,F,1994-02-16,1994-03-17,1994-03-14,NONE,SHIP,"hely even deposits. regular, silent"
2400133,4448,4449,5,29.00,39220.76,0.02,0.07,R,F,1994-02-11,1994-04-16,1994-02-19,COLLECT COD,REG AIR,ses. daringly pending pac
2400133,153900,6416,6,34.00,66432.60,0.07,0.06,A,F,1994-03-29,1994-04-16,1994-04-04,NONE,AIR,tructions wake furiously along the quic
2400133,186960,1997,7,32.00,65502.72,0.06,0.02,A,F,1994-02-14,1994-04-03,1994-03-03,NONE,REG AIR,s. furiously regular requests
2400134,23733,1240,1,14.00,23194.22,0.02,0.07,A,F,1994-07-15,1994-09-11,1994-07-25,TAKE BACK RETURN,MAIL,uickly special requests. blithely
2400134,73563,1085,2,30.00,46096.80,0.01,0.05,A,F,1994-09-04,1994-08-16,1994-09-16,DELIVER IN PERSON,TRUCK,is nag slyly enticing accounts. req
2400134,164027,1576,3,37.00,40367.74,0.08,0.00,A,F,1994-08-02,1994-08-28,1994-08-18,NONE,FOB,e idly among the slyly bold foxes. e
2400135,13497,5999,1,31.00,43725.19,0.10,0.00,R,F,1992-07-09,1992-08-13,1992-07-25,COLLECT COD,MAIL,ffix. special theodolite
2400135,30333,7843,2,13.00,16423.29,0.09,0.06,A,F,1992-07-11,1992-08-17,1992-07-14,DELIVER IN PERSON,AIR,theodolites. fu
2400135,4945,2446,3,9.00,16649.46,0.07,0.04,R,F,1992-10-28,1992-08-24,1992-10-29,NONE,TRUCK,nal packages around the regul
2400135,102517,7538,4,39.00,59260.89,0.04,0.01,A,F,1992-08-31,1992-09-28,1992-09-17,TAKE BACK RETURN,SHIP,y regular somas wake quickly. final pinto
2400135,186475,1512,5,8.00,12491.76,0.00,0.04,R,F,1992-10-07,1992-09-27,1992-11-01,DELIVER IN PERSON,SHIP, breach ironic instructions. furiously even
2400160,132978,8005,1,45.00,90493.65,0.01,0.06,R,F,1995-02-10,1995-03-21,1995-02-12,COLLECT COD,TRUCK,iously. final pi
2400160,153539,1085,2,39.00,62108.67,0.09,0.04,R,F,1995-04-08,1995-03-06,1995-04-16,NONE,SHIP,r packages cajole furiously unusual dolp
2400160,121693,1694,3,2.00,3429.38,0.02,0.07,R,F,1995-04-18,1995-04-05,1995-05-05,NONE,AIR,mptotes aft
2400161,15988,8490,1,5.00,9519.90,0.04,0.05,N,O,1997-02-03,1997-03-09,1997-02-11,TAKE BACK RETURN,REG AIR, accounts after t
2400161,101403,1404,2,9.00,12639.60,0.03,0.06,N,O,1997-01-13,1997-03-13,1997-02-03,TAKE BACK RETURN,RAIL,areful package
